port de départ,port de destination,produit,tonnage pondéré
Dunkerque,inconnu,Diverses marchandises,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,6.0
Dunkerque,Autre en Angleterre,Eau-de-vie,6.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Autre en Angleterre,Lest,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Douvres,Lest,12.0
Dunkerque,Portsmouth,Lest,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Ostende,Bière,12.0
Dunkerque,Douvres,Diverses marchandises,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Folkestone,Lest,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Douvres,Lest,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Deal,Lest,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Autre en Angleterre,Lest,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Autre en Angleterre,Lest,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Deal,Lest,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Dunkerque,Douvres,Lest,12.0
Dunkerque,Faversham,Lest,12.0
Dunkerque,Autre en Angleterre,Diverses marchandises,12.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Lest,45.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,2.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,12.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,12.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,12.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,12.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,2.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,2.0
Boulogne-sur-Mer,Plymouth,Lest,42.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,12.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,12.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,25.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,12.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,12.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,12.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,12.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,12.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,30.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,12.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,20.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,12.0
Boulogne-sur-Mer,Autre en Angleterre,Passagers,12.0
