cargo,cargo_standardized_fr,departure_uhgs_id,departure_fr,destination_uhgs_id,destination_fr,destination_partner_balance_supp_1789,destination_substate_1789_fr,destination_state_1789_fr,tonnage,outdate_fixed,nb_cargo
tabac restant de la cargaison,,A0204180,Dunkerque,A0627935,Rotterdam,Etranger,Hollande,Provinces-Unies,70.0,1789-07-09,1.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A1964976,Îles Féroé,Etranger,,Danemark,12.0,1789-05-28,2.0
taffias,,A0204180,Dunkerque,A1964976,Îles Féroé,Etranger,,Danemark,12.0,1789-05-28,2.0
sel,Sel,A0204180,Dunkerque,A0041886,Nieuport,Etranger,Pays-Bas autrichiens,Autriche,40.0,1789-04-02,3.0
Cuirs,,A0204180,Dunkerque,A0041886,Nieuport,Etranger,Pays-Bas autrichiens,Autriche,40.0,1789-04-02,3.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0041886,Nieuport,Etranger,Pays-Bas autrichiens,Autriche,40.0,1789-04-02,3.0
sel,Sel,A0204180,Dunkerque,A0041886,Nieuport,Etranger,Pays-Bas autrichiens,Autriche,40.0,1789-05-09,2.0
vin,Vin,A0204180,Dunkerque,A0041886,Nieuport,Etranger,Pays-Bas autrichiens,Autriche,40.0,1789-05-09,2.0
vins,Vin,A0204180,Dunkerque,A0041886,Nieuport,Etranger,Pays-Bas autrichiens,Autriche,40.0,1789-07-29,2.0
sel,Sel,A0204180,Dunkerque,A0041886,Nieuport,Etranger,Pays-Bas autrichiens,Autriche,40.0,1789-07-29,2.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0041886,Nieuport,Etranger,Pays-Bas autrichiens,Autriche,40.0,1789-11-07,2.0
Cuir,,A0204180,Dunkerque,A0041886,Nieuport,Etranger,Pays-Bas autrichiens,Autriche,40.0,1789-11-07,2.0
Sucre,Sucre,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,55.0,1789-03-27,3.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,55.0,1789-03-27,3.0
Caffé,Café,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,55.0,1789-03-27,3.0
Caffé,Café,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,55.0,1789-06-11,2.0
Sucre,Sucre,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,55.0,1789-06-11,2.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,55.0,1789-09-24,2.0
Sucre,Sucre,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,55.0,1789-09-24,2.0
Cuir,,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,50.0,1789-12-10,2.0
Sucre,Sucre,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,50.0,1789-12-10,2.0
sucre,Sucre,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,60.0,1789-02-05,1.0
futailles vuides,Futailles vides,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,60.0,1789-05-16,2.0
amidon,,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,60.0,1789-05-16,2.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,60.0,1789-06-23,2.0
Sucre,Sucre,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,60.0,1789-06-23,2.0
caffé,Café,A0204180,Dunkerque,A0620777,Amsterdam,Etranger,Hollande,Provinces-Unies,90.0,1789-05-09,1.0
balloteries,,A0204180,Dunkerque,A0079352,Barcelone,Etranger,,Espagne,115.0,1789-03-13,2.0
bled,Blé,A0204180,Dunkerque,A0079352,Barcelone,Etranger,,Espagne,115.0,1789-03-13,2.0
Sucre,Sucre,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,40.0,1789-04-17,2.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,40.0,1789-04-17,2.0
Eau-de-vie,Eau-de-vie,A0204180,Dunkerque,A0374720,Madère,Etranger,îles atlantiques portugaises,Portugal,130.0,1789-10-19,1.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,50.0,1789-05-22,2.0
Sucre,Sucre,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,50.0,1789-05-22,2.0
sucre,Sucre,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,50.0,1789-06-11,1.0
tabac,,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,50.0,1789-09-12,1.0
tabac,,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,50.0,1789-10-22,1.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0627935,Rotterdam,Etranger,Hollande,Provinces-Unies,72.0,1789-03-18,2.0
ozier,,A0204180,Dunkerque,A0627935,Rotterdam,Etranger,Hollande,Provinces-Unies,72.0,1789-03-18,2.0
Ozier,,A0204180,Dunkerque,A0627935,Rotterdam,Etranger,Hollande,Provinces-Unies,106.0,1789-04-04,2.0
futailles vuides,Futailles vides,A0204180,Dunkerque,A0627935,Rotterdam,Etranger,Hollande,Provinces-Unies,106.0,1789-04-04,2.0
Sucre,Sucre,A0204180,Dunkerque,A0627935,Rotterdam,Etranger,Hollande,Provinces-Unies,105.0,1789-02-16,2.0
caffé,Café,A0204180,Dunkerque,A0627935,Rotterdam,Etranger,Hollande,Provinces-Unies,105.0,1789-02-16,2.0
sucre,Sucre,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,40.0,1789-06-26,1.0
Fruits,Fruits,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,150.0,1789-04-17,3.0
Huilles,Huile,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,150.0,1789-04-17,3.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,150.0,1789-04-17,3.0
restant de sa cargaison pris à Croisic de caffé et de vin,,A0204180,Dunkerque,A1054071,Uddevalla,Etranger,,Suède,150.0,1789-10-16,1.0
marbres,,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,180.0,1789-10-13,1.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A1964976,Îles Féroé,Etranger,,Danemark,35.0,1789-03-13,2.0
Genevre,,A0204180,Dunkerque,A1964976,Îles Féroé,Etranger,,Danemark,35.0,1789-03-13,2.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A1964976,Îles Féroé,Etranger,,Danemark,35.0,1789-09-07,2.0
Genevre,,A0204180,Dunkerque,A1964976,Îles Féroé,Etranger,,Danemark,35.0,1789-09-07,2.0
Genevre,,A0204180,Dunkerque,A1964976,Îles Féroé,Etranger,,Danemark,40.0,1789-03-06,2.0
Tabac,,A0204180,Dunkerque,A1964976,Îles Féroé,Etranger,,Danemark,40.0,1789-03-06,2.0
Genevre,,A0204180,Dunkerque,A0374720,Madère,Etranger,îles atlantiques portugaises,Portugal,25.0,1789-10-21,2.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0374720,Madère,Etranger,îles atlantiques portugaises,Portugal,25.0,1789-10-21,2.0
mousseline,,A0204180,Dunkerque,A0374720,Madère,Etranger,îles atlantiques portugaises,Portugal,25.0,1789-11-09,1.0
Sucre,Sucre,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,32.0,1789-01-19,3.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,32.0,1789-01-19,3.0
saumons,,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,32.0,1789-01-19,3.0
caffé,Café,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,45.0,1789-04-08,2.0
Sucre,Sucre,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,45.0,1789-04-08,2.0
sucre,Sucre,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,45.0,1789-08-17,1.0
café,Café,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,55.0,1789-04-25,3.0
taffia,,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,55.0,1789-04-25,3.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,55.0,1789-04-25,3.0
vins,Vin,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,50.0,1789-05-29,2.0
Caffé,Café,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,50.0,1789-05-29,2.0
vins,Vin,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,50.0,1789-08-31,2.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,50.0,1789-08-31,2.0
Sucre,Sucre,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,50.0,1789-06-06,3.0
caffé,Café,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,50.0,1789-06-06,3.0
sel,Sel,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,50.0,1789-06-06,3.0
Cuirs,,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,50.0,1789-10-31,3.0
Caffé,Café,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,50.0,1789-10-31,3.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,50.0,1789-10-31,3.0
laine,Laine,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,36.0,1789-05-28,2.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,36.0,1789-05-28,2.0
saumon,,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,60.0,1789-12-09,2.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,60.0,1789-12-09,2.0
sel,Sel,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,60.0,1789-07-18,1.0
sucre,Sucre,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,60.0,1789-05-15,1.0
sucre,Sucre,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,36.0,1789-07-24,1.0
Sucre,Sucre,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,28.0,1789-05-22,2.0
caffé,Café,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,28.0,1789-05-22,2.0
caffé,Café,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,36.0,1789-10-09,2.0
Sucre,Sucre,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,36.0,1789-10-09,2.0
Caffé,Café,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,32.0,1789-04-02,3.0
vin,Vin,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,32.0,1789-04-02,3.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,32.0,1789-04-02,3.0
caffé,Café,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,32.0,1789-06-06,2.0
Sucre,Sucre,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,32.0,1789-06-06,2.0
sucre,Sucre,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,45.0,1789-02-06,1.0
Caffé,Café,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,45.0,1789-06-23,2.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,45.0,1789-06-23,2.0
sucre,Sucre,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,55.0,1789-02-16,1.0
sel,Sel,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,55.0,1789-06-26,1.0
Sucre,Sucre,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,50.0,1789-03-07,3.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,50.0,1789-03-07,3.0
vin,Vin,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,50.0,1789-03-07,3.0
sel,Sel,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,28.0,1789-07-22,2.0
vin,Vin,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,28.0,1789-07-22,2.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,28.0,1789-09-10,2.0
Caffé,Café,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,28.0,1789-09-10,2.0
Sucre,Sucre,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,32.0,1789-08-19,2.0
caffé,Café,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,32.0,1789-08-19,2.0
Sucre,Sucre,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,32.0,1789-11-23,2.0
caffé,Café,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,32.0,1789-11-23,2.0
Sucre,Sucre,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,36.0,1789-03-18,3.0
Caffé,Café,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,36.0,1789-03-18,3.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,36.0,1789-03-18,3.0
Sucre,Sucre,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,50.0,1789-10-17,2.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,50.0,1789-10-17,2.0
Sucre,Sucre,A0204180,Dunkerque,A0618784,Dordrecht ,Etranger,Hollande,Provinces-Unies,90.0,1789-05-04,2.0
Tabac,,A0204180,Dunkerque,A0618784,Dordrecht ,Etranger,Hollande,Provinces-Unies,90.0,1789-05-04,2.0
Tabac,,A0204180,Dunkerque,A0251183,Livourne,Etranger,,Toscane,150.0,1789-04-11,3.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0251183,Livourne,Etranger,,Toscane,150.0,1789-04-11,3.0
cloux,,A0204180,Dunkerque,A0251183,Livourne,Etranger,,Toscane,150.0,1789-04-11,3.0
huille de térbantine,,A0204180,Dunkerque,A0622825,Middelbourg,Etranger,Zélande,Provinces-Unies,100.0,1789-02-21,2.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0622825,Middelbourg,Etranger,Zélande,Provinces-Unies,100.0,1789-02-21,2.0
Eau-de-vie,Eau-de-vie,A0204180,Dunkerque,A0364551,Setúbal ,Etranger,,Portugal,300.0,1789-09-03,2.0
orge,Orge,A0204180,Dunkerque,A0627935,Rotterdam,Etranger,Hollande,Provinces-Unies,40.0,1789-08-05,1.0
sel,Sel,A0204180,Dunkerque,A0041886,Nieuport,Etranger,Pays-Bas autrichiens,Autriche,20.0,1789-05-29,1.0
sel,Sel,A0204180,Dunkerque,A0041886,Nieuport,Etranger,Pays-Bas autrichiens,Autriche,10.0,1789-11-02,1.0
sel,Sel,A0204180,Dunkerque,A0041886,Nieuport,Etranger,Pays-Bas autrichiens,Autriche,40.0,1789-06-23,2.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0041886,Nieuport,Etranger,Pays-Bas autrichiens,Autriche,40.0,1789-06-23,2.0
Sel,Sel,A0204180,Dunkerque,A0041886,Nieuport,Etranger,Pays-Bas autrichiens,Autriche,20.0,1789-04-01,2.0
peaux de bœufs,Peaux de boeuf,A0204180,Dunkerque,A0041886,Nieuport,Etranger,Pays-Bas autrichiens,Autriche,20.0,1789-04-01,2.0
Tabac,,A0204180,Dunkerque,A0041886,Nieuport,Etranger,Pays-Bas autrichiens,Autriche,20.0,1789-05-11,3.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0041886,Nieuport,Etranger,Pays-Bas autrichiens,Autriche,20.0,1789-05-11,3.0
sel,Sel,A0204180,Dunkerque,A0041886,Nieuport,Etranger,Pays-Bas autrichiens,Autriche,20.0,1789-05-11,3.0
Etc.,Diverses marchandises,A0204180,Dunkerque,B0000056,Louisiane,Etranger,Colonies espagnoles d'Amérique,Espagne,120.0,1789-08-22,3.0
Genevre,,A0204180,Dunkerque,B0000056,Louisiane,Etranger,Colonies espagnoles d'Amérique,Espagne,120.0,1789-08-22,3.0
toile,,A0204180,Dunkerque,B0000056,Louisiane,Etranger,Colonies espagnoles d'Amérique,Espagne,120.0,1789-08-22,3.0
graine de lin,Graines de lin,A0204180,Dunkerque,A0041886,Nieuport,Etranger,Pays-Bas autrichiens,Autriche,40.0,1789-08-21,1.0
sel,Sel,A0204180,Dunkerque,A0041886,Nieuport,Etranger,Pays-Bas autrichiens,Autriche,60.0,1789-09-16,1.0
bled,Blé,A0204180,Dunkerque,A0079352,Barcelone,Etranger,,Espagne,130.0,1789-04-14,1.0
bléd,Blé,A0204180,Dunkerque,A0079352,Barcelone,Etranger,,Espagne,200.0,1789-04-11,2.0
farines,Farine,A0204180,Dunkerque,A0079352,Barcelone,Etranger,,Espagne,200.0,1789-04-11,2.0
mousseline,,A0204180,Dunkerque,A0374720,Madère,Etranger,îles atlantiques portugaises,Portugal,25.0,1789-10-13,1.0
sucre,Sucre,A0204180,Dunkerque,A0620777,Amsterdam,Etranger,Hollande,Provinces-Unies,132.0,1789-12-12,1.0
Sucre,Sucre,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,68.0,1789-02-17,2.0
caffé,Café,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,68.0,1789-02-17,2.0
Huilles,Huile,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,50.0,1789-03-11,3.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,50.0,1789-03-11,3.0
Sucre,Sucre,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,50.0,1789-03-11,3.0
tabac faisant restant de son chargement,,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,74.0,1789-04-25,1.0
Fruits,Fruits,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,160.0,1789-03-28,3.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,160.0,1789-03-28,3.0
Huilles,Huile,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,160.0,1789-03-28,3.0
autres marchandises,Diverses marchandises,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,50.0,1789-03-18,2.0
Laines,Laine,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,50.0,1789-03-18,2.0
orge,Orge,A0204180,Dunkerque,A0079352,Barcelone,Etranger,,Espagne,108.0,1789-08-03,1.0
Tabac,,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,60.0,1789-09-21,2.0
Sucre,Sucre,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,60.0,1789-09-21,2.0
caffé,Café,A0204180,Dunkerque,A0620777,Amsterdam,Etranger,Hollande,Provinces-Unies,92.0,1789-09-21,1.0
orge,Orge,A0204180,Dunkerque,A0624785,Veere,Etranger,Zélande,Provinces-Unies,40.0,1789-10-21,1.0
Tabac,,A0204180,Dunkerque,A0232521,Gênes,Etranger,,République de Gênes,200.0,1789-08-14,2.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0232521,Gênes,Etranger,,République de Gênes,200.0,1789-08-14,2.0
Huilles,Huile,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,100.0,1789-02-14,3.0
Fruits,Fruits,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,100.0,1789-02-14,3.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,100.0,1789-02-14,3.0
Etc.,Diverses marchandises,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,90.0,1789-05-27,3.0
Huilles,Huile,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,90.0,1789-05-27,3.0
Fruits,Fruits,A0204180,Dunkerque,A0049808,Ostende,Etranger,Pays-Bas autrichiens,Autriche,90.0,1789-05-27,3.0
