Port de destination,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre
Aberdeen,,800,,,,,400,,,,,
Burnham,,,,,,,,,50,,,
Colchester,,,,550,,,,,50,,,
Deal,1010,850,,3950,50,1810,1050,,6100,2270,1040,10190
Douvres,300,,,,,,,,28,60,,
Dungeness,2200,400,,,,,,500,400,600,,
Folkstone,3350,5260,3450,3640,,300,1800,80,1028,1075,,
Feversham,,150,,,,,100,,100,,1300,
Guernezé,,,,,,,,,,,,840
Harwich,,,,,,,,,10,,,
Hastings,2044,360,,,700,200,,,,,800,1530
Lee,,,,,120,,,,,,,
Lydd,,625,,,,,600,,,,,
Lynn,400,,,,,,,,,,,
Maldon,2550,,,,,,,,,,,
Rye,,750,,,,,,,,,300,
Reculver,,,,,,280,,,,,,
Whistable,,,,,,,,,50,,,