destination,"01 Janvier","02 Février"," 03 Mars","04 Avril","05 Mai","06 Juin","07 Juillet","08 Août","09 Septembre","10 Octobre","11 Novembre","12 Décembre"
Deal,12,8,11,20,9,15,24,14,18,13,18,15
Folkstone,10,3,8,7,9,5,14,4,8,5,3,5
Margate,6,3,12,8,2,5,10,7,6,10,6,4
Chatham,11,5,4,5,2,,1,3,9,6,4,6
Colchester,5,4,2,5,,3,3,4,2,6,3,4
Hasting,2,2,5,4,4,9,4,3,2,2,2,3
Burnham,2,4,2,2,1,2,,,3,3,5,3
Whistable,,2,,1,,3,2,2,,,,
Lydd,1,1,1,,,,1,2,2,,,
Harwich,,,1,,,,,,1,3,2,3
Douvres,,,,,1,1,,,,2,1,2
Dungeness,1,,1,1,,,,1,,1,,
Sandgate,3,,1,,,,,,,,,
Brightlandsea,,,,,,,,,1,1,1,1
Ispwich,1,1,,,,,,1,,,,
Pegwell,,,,1,,,,,,1,1,
Liestaff,,,,,1,2,,,,,,
Leith,,2,,,,,,,,,,
Woodbridge,,,1,1,,,,,,,,
Bradwell,,1,,,,1,,,,,,
Hanson,1,,,,,,,,,,,
Stroud,,1,,,,,,,,,,
Walding,,1,,,,,,,,,,
Londres,,1,,,,,,,,,,
Norwich,,,1,,,,,,,,,
Harwich,,,1,,,,,,,,,
Budleigh Salterton,,,,1,,,,,,,,
Essex,,,,,1,,,,,,,
Christchurch,,,,,1,,,,,,,
Yarmouth,,,,,,,1,,,,,
Rye,,,,,,,,1,,,,
Leigh,,,,,,,,,1,,,
Rochester,,,,,,,,,1,,,
Topsham,,,,,,,,,1,,,
Holy Island,,,,,,,,,,,1,